['🤦\u200d♂️'],3552
"['👅', '💦', '💦', '💦']",3561
"['😁', '😁', '😁', '😁']",3563
"['🇮🇹', '🇮🇹']",3572
['🙏🏻'],3579
"['🐑', '🐑', '🐑', '🐑', '🐑', '🐑']",3582
['🤬'],3584
['🎬'],3596
"['😂', '😂', '🤣', '😪', '🌹', '❤️']",3600
"['😂', '😂', '😂', '😂']",3601
['😘'],3602
['🤭'],3605
"['❤️', '❤️', '❤️']",3609
"['👍', '👍', '👋', '😊', '😊']",3610
"['🇮🇹', '🇧🇷', '🇮🇹', '🇧🇷', '🇨🇴', '🇫🇷', '🇦🇷', '🇮🇹', '🇷🇸', '🇷🇸', '🇵🇱']",3611
"['🤞🏻', '🤞🏻', '🤞🏻']",3617
['🗣️'],3623
['👇'],3624
['🤬'],3633
['🔴'],3635
['👽'],3655
"['😅', '😅']",3656
['🥞'],3664
['😊'],3665
"['🤣', '🤣', '🤣', '🤣']",3675
['😘'],3678
"['🎙️', '🖕', '🔥', '💪', '⚽', '💙']",3704
['🤬'],3716
"['🤣', '🤣', '🤣']",3718
"['😱', '🤮']",3719
"['😏', '🌹', '👍']",3721
"['😜', '😂']",3727
"['🤭', '🤭', '😱']",3728
"['😂', '😂', '😂']",3740
"['💖', '💖']",3744
"['💛', '❤️']",3745
['💩'],3747
"['😁', '🤣', '🤣', '🤣']",3752
"['🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘', '🆘']",3760
['🎵'],3771
['🙄'],3773
"['🤣', '🤣', '🤣']",3775
['🫡'],3784
['😍'],3786
['😅'],3791
"['❤️\u200d🔥', '🍅', '⚰️']",3795
['😐'],3796
"['😱', '😱', '😱', '😱', '😱', '😱', '😱', '😱']",3798
"['🔥', '🔥']",3800
"['😂', '😜']",3806
['🤡'],3811
"['💀', '💀', '💀']",3818
"['😎', '😀']",3831
['🤔'],3835
['😭'],3839
"['😂', '😂', '😂']",3854
"['🔴', '🔴']",3856
"['🤍', '💙']",3857
['⬇️'],3859
"['🎂', '🎂', '🎂', '🍾', '🍾', '🍾']",3862
"['🥂', '🎂', '🎁', '⚽']",3869
"['❤️', '❤️', '❤️']",3873
"['❤️', '🙏']",3882
"['🤮', '🤮', '🤮', '🤮']",3891
['😬'],3892
"['❤️', '⚪', '⚫', '➡️']",3895
['😂'],3898
"['😂', '😂', '😂', '😂', '😂']",3901
['👏'],3903
['🤣'],3904
['💪🏼'],3911
"['🥰', '🇮🇪']",3912
['❗'],3916
['😉'],3918
"['🆘', '🆘', '🆘', '☀️']",3923
"['🤦', '😡']",3924
